city,state_name,country_name,latitude,longitude,nyc_distance,dc_distance
Odenton,Maryland,United States,39.0897199,-76.7073534,182.03624517993978,22.641223825083504
Knoxville,Tennessee,United States,35.9603948,-83.9210261,629.9402944111799,428.7950674599647
Plano,Texas,United States,33.0136764,-96.6925096,1359.4314994056574,1170.8806059628305
Delray Beach,Florida,United States,26.4614625,-80.0728201,1041.9619326238003,874.2811222814192
Ithaca,New York,United States,42.4396039,-76.4968019,175.66481601115194,246.64990053095644
Clarksburg,Maryland,United States,39.2387164,-77.2794288,201.30535612027592,27.337625525241997
Morristown,New Jersey,United States,40.7970384,-74.4809492,25.590918729222857,189.33052505518532
Salt Lake City,Utah,United States,40.7596198,-111.8867975,1972.4753182054803,1846.0402664872643
Easton,Maryland,United States,38.7744952,-76.0763065,173.30507421029762,52.601401137126686
Newark,New Jersey,United States,40.735657,-74.1723667,8.875032843020255,198.75767662723635
Newark,Delaware,United States,39.6852191,-75.7508289,116.38999473095257,88.2828018738862
Lexington,Massachusetts,United States,42.4473175,-71.2245003,187.34292527847884,391.8138474303762
West Orange,New Jersey,United States,40.7987113,-74.2390353,13.590434858522586,198.85169463627514
El Paso,Texas,United States,31.7754152,-106.464634,1901.9752108551081,1724.5788655708793
Worcester,Massachusetts,United States,42.2761217,-71.8058232,157.06669732324283,361.0453967665314
Oxon Hill,Maryland,United States,38.8035961,-76.9896573,206.34754408344781,6.494500601573074
Hollywood,Florida,United States,26.0112014,-80.1494901,1072.9277019095516,905.6210512555185
Charleston,South Carolina,United States,32.7876012,-79.9402728,637.634527325962,450.99902383112664
Gainesville,Virginia,United States,38.7938615,-77.63319337032087,234.13248029016114,32.65880481630047
Allentown,Pennsylvania,United States,40.6022059,-75.4712794,77.37382647507455,144.73729529024362
Reading,Pennsylvania,United States,40.335345,-75.9279495,104.49043508973274,116.09155929682703
Brookeville,Maryland,United States,39.1807943,-77.0591072,193.51645903492482,20.15031643203136
Trenton,New Jersey,United States,40.2170575,-74.7429463,51.74845083812128,153.10852473932397
Cabin John,Maryland,United States,38.975388,-77.1580349,206.05155442164082,8.705742755371208
Lexington,Kentucky,United States,38.0464066,-84.4970393,590.5777983854721,408.40774438242465
Sykesville,Maryland,United States,39.365992,-76.9688737,182.52480142885668,33.12268342953858
Pikesville,Maryland,United States,39.3745035,-76.7227288,171.09552366740667,37.58049797214259
Westfield,New Jersey,United States,40.6589912,-74.3473717,18.30966957298024,188.29305114308957
Glen Burnie,Maryland,United States,39.1626298,-76.6250756,175.4432566671488,29.24023322837209
Birmingham,Alabama,United States,33.5206824,-86.8024326,861.8747313729065,658.6142773459754
